title,artist,tag,year,lyrics
Holy Toledo,Green Day,rock,2021,"[Verse 1]
I wanna go where the trouble begins
And the morning after smells just like a dirty ashtray
Oh, give me shame, lock me in the shower
The penitentiary, elementary school for losers
If this is how it's gonna end, then it feels alright
Baby, let's get sick again

[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again

[Verse 2]
We're crawling out of the dead man's bed
Well, we don't wanna know
Well, we don't wanna know
I'm killing myself just to live
Well, we don't wanna go
Well, we don't wanna go
[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again

[Bridge]
Ba, ba-ba-ra-da
Ba-ba-ra-da, ba-ba-ra-da
Ba, ba-ba-ra-da
Ba-ba-ra-da, ba-ba-da-oh

[Instrumentals]

[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again"
Homecoming Broadway,Green Day,rock,2010,"I. The Death of St. Jimmy

[ST. JIMMY]
My heart is beating from me
I am standing all alone
Please call me only
If you are coming home

Waste another year flies by
Waste a night or two
You taught me how to live

In the streets of shame
Where you've lost your dreams in the rain
There's no sign of hope
The stems and seeds of the last of the dope

[ST. JIMMY and JOHNNY]
There's a glow of light
The St. Jimmy is the spark in the night
Bearing gifts and trust
The fixture in the city of lust
[ST. JIMMY]
What the hell's your name?
What's your pleasure, what is your pain
Do you dream too much?

[ST. JIMMY and JOHNNY]
Do you think what you need is a crutch?

In the crowd of pain
St. Jimmy comes without any shame
He says ""We're fucked up""
But we're not the same
And Mom and Dad are the ones you can blame""

[ST. JIMMY]
Jimmy died today
He blew his brains out into the bay
In the state of mind

[ST. JIMMY and JOHNNY]
In my own private suicide

II. East 12th Street

[THEO and GERARD]
Well nobody cares, well nobody cares
Does anyone care if nobody cares?
Well nobody cares, well nobody cares
Does anyone care if nobody cares?
[THEO and GERARD]
Jesus is filling out paperwork now
At the facility on East 12th St
He's not listening to a word now
He's in his own world and he's daydreaming

He'd rather be doing something else now
Like cigarettes and coffee with the underbelly
His life's on the line with anxiety now
She had enough and he's had plenty

[ALL]
Somebody get me out of here!
Anybody get me out of here!
Somebody get me out of here!
Get me the fuck right out of here!

[JOHNNY]
So far away
I don't want to stay
Get me outta here right now
I just wanna be free
Is there a possibility
Get me out of here right now

[JOHNNY and WILL]
This lifelike dream ain't for me!

III. Nobody Likes You

[WILL]
I fell asleep while watching Spike TV
After ten cups of coffee
And you're still not here
Dreaming of a song
When something went wrong
But I can't tell anyone
'Cause no one's here

Left me here alone
When I should have stayed home
After 10 cups of coffee
I'm thinking...

[ALL]
Where'd you go?

[WILL]
Nobody likes you, everyone left you

[ALL]
Where'd you go?

[WILL]
They're all out without you, having fun

[ALL]
Where'd you go?

[WILL]
Everyone left you, nobody likes you

[ALL]
Where'd you go?

[WILL]
They're all out without you, having fun

[ALL]
Where'd you go?
Go, go, go?

IV. Rock and Roll Girlfriend

[MIGUEL]
Jeez!

I got a rock and roll band
I got a rock and roll life

[MIGUEL and HEATHER]
I got a rock and roll girlfriend!

[MIGUEL]
And another ex-wife

I got a rock and roll house
I got a rock and roll car
I play the shit out the drums

[HEATHER]
And he can play the guitar!

Yeah!

[MIGUEL]
I got a kid in New York
I got a kid in the Bay
I haven't drank or smoked nothing
In over 22-

[WILL]
Don't wanna be an American Idiot!

[MIGUEL]
-days, so get off of my case!

[MIGUEL and HEATHER]
Off of my case!

[ALL]
Off of my case!

V. We're Coming Home Again

[JOHNNY]
Here they come marching down the street
Like a desperation murmur of a heart beat
Coming back from the edge of town
Underneath their feet

[JOHNNY and TUNNY]
The time has come and it going nowhere
Nobody ever said that life was fair now
Go-carts and guns are treasures they will bear
In the summer heat

[WILL]
The world is spinning
Around and around
Out of control again
From the 7-11 to the

[WILL and JOHNNY]
Fear of breaking down!

[JOHNNY]
So send my love a letterbomb
And visit me in hell
We're the ones going...

[JOHNNY, TUNNY, and WILL]
Home. We're coming home again
Home. We're coming home again

[JOHNNY]
I started fuckin' running
As soon as my feet touched ground

[TUNNY]
We're back in the Barrio
But to you-

[JOHNNY, TUNNY, and WILL]
-and me, that's Jingletown, that's...

[ALL]
Home. We're coming home again (x8)

Nobody likes you
Everyone left you
They're all out without you
Havin' fun!"
Fell For You Demo,Green Day,rock,2014,"I woke up in a pool of sweat
First I thought that I pissed the bed
Haunted stories in the midnight hour
The kiss of death from the Eiffel Tower

And I went down like the speed of sound
You're out of sight but not out of mind

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

I'll spend the night living in denial
Making paper planes just for a while
I'll crash in to you, I crash into you
'Cause you crash in my imagination too

Break a leg and you crush my heart
I'm a mess and you're a work of art
Count your blessings going zero to five
Steal a kiss and I took a dive
And I went down like the speed of sound
You're out of sight but not out of mind

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

I'll spend the night living in denial
Making paper planes just for a while
I'll crash into you, I crash into you
'Cause you crash in my imagination

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

And I fell for you
And I fell for you"
American Idiot Broadway,Green Day,rock,2010,"[JOHNNY]
Don't want to be an American idiot
Don't want a nation under the new media

[WILL]
And can you hear the sound of hysteria?

[TUNNY]
The subliminal mind-fuck: America

[ALL]
Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[COMPANY]
Well maybe I'm the faggot America
I'm not a part of a redneck agenda
[ALL]
Now everybody do the propaganda
And sing along to the age of paranoia

Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[ENSEMBLE 1]
Don't want to be an American idiot

[ENSEMBLE 2]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media

[ENSEMBLE 2]
One nation controlled by the media

[ENSEMBLE 1]
Don't want to be an American idiot
[ENSEMBLE 2]
Don't want to be an American Idiot

[FEMALE ENSEMBLE]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media

[ENSEMBLE 2]
One nation controlled by the media

[FEMALE ENSEMBLE]
One nation controlled by the media

[ENSEMBLE 1]
Don't want to be an American idiot

[ENSEMBLE 2]
Don't want to be an American Idiot

[FEMALE ENSEMBLE]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media
Information age of hysteria
[ENSEMBLE 2]
One nation controlled by the media
Hysteria

[FEMALE ENSEMBLE]
One nation controlled by hysteria

[ALL]
It's calling out to idiot America

Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue"
Walking The Dog,Green Day,rock,2020,"[Intro]
Rolling
Bong it
Take 5

[Verse 1]
Mary mac, dressed in black
Silver buttons all down her back
High to low, tip to toe
She broke a needle and she can't sew

[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
[Whistle]
C'mon now, c'mon, c'mon!

[Verse 2]
Asked my mama for fifteen cents
See the elephant jump the fence
He jumped so high he touched the sky
Never got back till the Fourth of July
[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
C'mon now, c'mon, c'mon!

[Verse 3]
Baby, baby, quite contrary
Tell me, how does your garden grow
You got silver bells and you got cockle shells
Pretty maids all in a row

[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
C'mon now, c'mon, c'mon!

[Bridge]
Oh ho
Just-a, just-a, just a-walkin'
Just-a, just-a, just a-walkin'
Just-a, just-a, just a-walkin'
Oh yeah
If you don't know how to do it
I'll show you how to walk the dog
Ohh!
Just-a, just-a, just-a, just-a, just a-walkin'
Just-a, just-a, just-a, just-a, just a-walkin'
[Outro]
Ohh!
Just-a, just-a, just-a, just-a, just a-walkin'
Just-a, just-a, just-a, just-a, just a-walkin'"
Stuart and the Ave.,Green Day,rock,1995,"[Verse 1]
Standing on the corner of Stuart and the avenue
Ripping up my transfer and a photograph of you
You're a blur of my dead past and rotting existence
As I stand laughing on the corner of insignificance

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up

[Verse 2]
Seasons change as well as minds, and I'm a two-faced clown
You're Mommy's little nightmare, driving Daddy's car around
I'm beat down and half brain dead, the long lost king of fools
I may be dumb, but I'm not stupid enough to stay with you

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up
[Instrumental Bridge]

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up
We’re all fucked up
You're all fucked up"
Stay the Night Acoustic,Green Day,rock,2014,"Well I ain't got much time so I'll get to the point
Do you wanna share a ride and get the fuck out of this joint?
I've got an impulse so repulsive that it burns
I wanna break your heart until it makes your stomach turn
I got to know if you're the one that got away
Even though it was never meant to be
Say you'll stay the night
'cause we're running out of time
So stay the night
I don't wanna say goodbye
Say you'll stay the night
'cause we're running out of time
So stay the night
Well I don't wanna say goodbye
Well you're so sick and tired of feeling so alone
Well I don't understand the point if you have to go home
So won't you stay and count the circles 'round my eyes?
And we can watch the stars until the sun begins to rise
I got to know if you're the one that got away
Even though it was never meant to be
Say you'll stay the night
'cause we're running out of time
So stay the night
I don't wanna say goodbye
Say you'll stay the night
'cause we're running out of time
So stay the night
Well I don't wanna say goodbye"
Ashley Demo,Green Day,rock,2014,"1,2!

ASHLEY!
Are you running around?
Are you crying out bloody murder?

ASHLEY!
Are you bumming around?
Are you crying on my cold shoulder?

You used to dangle my heart with your puppet strings
Dangled your desired right in front of my face
You led me to the well but wouldn't let me drink
I swallowed my pride and never even got the taste
But time comes around and I'm not so naive
I finally lost touch cause you're so out of reach
You say that you're fine but i know that you ain't
You're looking like hell and you're no fucking saint

ASHLEY!
Are you running around?
Are you crying out bloody murder?
ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH

You used to dangle my heart with your puppet strings
Dangled your desired right in front of my face
You led me to the well but wouldn't let me drink
I swallowed my pride and never even got the taste
But time comes around and I'm not so naive
I finally lost touch cause you're so out of reach
You say that you're fine but i know that you ain't
You're looking like hell and you're no fucking saint

ASHLEY!
Are you running around?
Are you crying out Bloody Murder?

ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH

ASHLEY!
Are you running around?
Are you crying out Bloody Murder?

ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH
ASHLEY!
ASHLEY!
ASHLEY!
ASHLEY!"
Thats Alright,Green Day,rock,2009,"Well now, that's all right, now mama
That's all right for you
That's all right now, mama
Anyway you do

But that's all right
That's all right
That's all right now mama
Anyway you do

Well, my mama she done tol' me
Papa tol' me, too
'The life your livin, son
Now, women be the death of you'

That's all right
That's all right
That's all right, now mama
Anyway you do

'Yeah, man!'
(guitar & instrumental)

Baby, one an one is two
Two an two is fo'
I love that woman
But I got to let her go

That's all right
That's all right
That's all right, now mama
Anyway you do

Babe, now if you don't want me
Why not tell me so?
You won't be bothered wit' me
'Round yo house no mo'

But that's all right
That's all right
That's all right, now mama
Anyway you do
De-ah-da, de-de-de, de
De-de-de, de
De-de-de, de
De-de-de
De-de-de, de
De-de-de
Now, that's all right
That's all right
That's all right, now mama
Anyway you do"
Extraordinary Girl / Letterbomb,Green Day,rock,2004,"[""Extraordinary Girl""]

[Instrumental Intro]

[Verse 1]
She's an extraordinary girl
In an ordinary world
And she can't seem to get away
He lacks the courage in his mind
Like a child left behind
Like a pet left in the rain

[Chorus]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
She gets so sick of crying

[Verse 2]
She sees the mirror of herself
An image she wants to sell
To anyone willing to buy
He steals the image in her kiss
From her heart's apocalypse
From the one called Whatsername
[Chorus]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
She gets so sick of crying

[Instrumental Break]

[Chorus 2]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
Some days it's not worth trying
Now that they both are finding
She gets so sick of crying

[Outro]
She's an extraordinary girl
An extraordinary girl
An extraordinary girl
An extraordinary girl

[""Letterbomb""]

[Intro - Kathleen Hanna]
Nobody likes you
Everyone left you
They're all out without you
Having fun
[Verse 1]
Where have all the bastards gone?
The underbelly stacks up ten high
The dummy failed the crash test
Collecting unemployment checks
Like a flunkie only along for the ride

Where have all the riots gone
As the city's motto gets pulverized?
What's in love is now in debt
On your birth certificate
So strike the fucking match to light this fuse!

[Pre-Chorus]
The town bishop's an extortionist
And he don't even know that you exist
Standing still when it's do or die
You better run for your fucking life

[Chorus]
It's not over 'till you're underground
It's not over before it's too late
This city's burnin'
It's not my burden
It's not over before it's too late
There's nothing left to analyze

[Bridge]
Where will all the martyrs go when the virus cures itself?
And where will we all go when it's too late?

[Ad Lib]
And don't look back

[Middle Eight]
You're not the Jesus of Suburbia
The St. Jimmy is a figment of
Your father's rage and your mother's love
Made me the idiot America

[Chorus 2]
It's not over 'till you're underground
It's not over before it's too late
This city's burnin'
It's not my burden
It's not over before it's too late

[Outro]
She said ""I can't take this place
I'm leaving it behind""
Well she said ""I can't take this town
I'm leaving you tonight"""
